thresholds,n_features,accuracies
0.0,67,0.8200989780564394
0.0,67,0.8200989780564394
0.0,67,0.8200989780564394
0.0,67,0.8200989780564394
0.0,67,0.8200989780564394
0.0,67,0.8200989780564394
0.0,67,0.8200989780564394
0.00062244065,60,0.8203422000322602
0.0013547164,59,0.8206998998794577
0.0021984847,58,0.8207428121926569
0.0026129375,57,0.8204995707693954
0.0028323468,56,0.8210576109856996
0.0028897559,55,0.8209145023874344
0.0031072784,54,0.820227752867369
0.0031999578,53,0.8203279000220585
0.0032980845,52,0.8202277620793147
0.0033402373,51,0.820327901045608
0.003484467,50,0.8201991170227327
0.0036839545,49,0.8208000572696422
0.0037851173,48,0.8215154283046505
0.003916463,47,0.8207857316707026
0.003927668,46,0.8211863387133519
0.0040193084,45,0.8209860249565322
0.004077947,44,0.8209431198081795
0.0042213984,43,0.8210432608215719
0.004335787,42,0.8201705272378244
0.0043363315,41,0.8207285203708514
0.0044544577,40,0.8199845339621967
0.004521632,39,0.8193979080551822
0.0045814505,38,0.8193836019036833
0.0047747055,37,0.8188685487196926
0.0050362255,36,0.8188828507769934
0.0050423993,35,0.8172518082563004
0.0051265294,34,0.8171373590443102
0.005341097,33,0.8175952111639446
0.0056194724,32,0.8168941339978408
0.005875213,31,0.8158783030748726
0.005907968,30,0.8153203150595936
0.0061862147,29,0.8157781702498765
0.006365221,28,0.8152058863185936
0.006383529,27,0.8157352343950384
0.006989504,26,0.8154061734631259
0.007365837,25,0.8149054059596438
0.008581757,24,0.8146908044752162
0.008620094,23,0.8151915607196539
0.01055138,22,0.8152344740564027
0.011795047,21,0.8141184959787452
0.011965698,20,0.8139754385579556
0.012282869,19,0.8137465329691285
0.013216949,18,0.8129309932848908
0.014065584,17,0.8124016237139063
0.01413703,16,0.8121297791995927
0.014141295,15,0.8120296310213536
0.014496576,14,0.8117434885439374
0.01558788,13,0.811972399250512
0.01576438,12,0.809253995049357
0.016406393,11,0.7965490465324134
0.01688898,10,0.7963487522230344
0.021713836,9,0.7749163296894322
0.02598311,8,0.7726700755710145
0.03834291,7,0.7724840751305402
0.043744396,6,0.7646436080955438
0.046411604,5,0.7428677744659014
0.079066664,4,0.7355423902978315
0.09803284,3,0.7353850093252013
0.1405056,2,0.7349844012590028
0.152881,1,0.7347125608388873
